call_letters,network,location
KRBK,Fox,"Osage Beach, Missouri"
KRCA,Estrella TV,"Riverside, California"
KRCB,PBS,"Cotati, California"
KRCG,CBS,"Jefferson City, Missouri"
KRCR-TV,7.1ABC,"Redding, California"
,7.2MeTV,
KRCW-TV,32.1The CW,"Salem/Portland, Oregon"
,33.3This TV,
KRDK-TV,Dark,"Valley City, North Dakota"
KRDO-TV,ABC,"Colorado Springs, Colorado"
KREG-TV,CBS,"Glenwood Springs, Colorado"
KREM,CBS,"Spokane, Washington"
KREN-TV,27.1Univision,"Reno, Nevada"
,46.2KRNS-CD,
KREX-TV,5.1CBS,"Grand Junction, Colorado"
,27.2KGJT-CD,
KREY-TV,CBS,"Montrose, Colorado"
KREZ-TV,CBS,"Durango, Colorado"
KRGV-TV,5.1ABC,"Weslaco, Texas"
,5.3MeTV,
KRII,11.1NBC,"Chisholm, Minnesota"
,11.2KDLH-DT2,
,11.3KDLH,
,11.9KBJR-DT2,
KRIN,PBS,"Waterloo, Iowa"
KRIS-TV,6.1NBC,"Corpus Christi, Texas"
,13.2The CW,
KRIV,Fox,"Houston, Texas"
KRMA-TV,PBS,"Denver, Colorado"
KRMJ,PBS,"Grand Junction, Colorado"
KRMT,Daystar Television Network,"Denver, Colorado"
KRMU,PBS,"Durango, Colorado"
KRMZ,PBS,"Steamboat Springs, Colorado"
KRNE-TV,PBS,"Merriman, Nebraska"
KRNV-DT,4.1NBC,"Reno, Nevada"
,7.2This TV,
KRON-TV,MyNetworkTV,"San Francisco, California"
KRPV-DT,God's Learning Channel,"Roswell, New Mexico"
KRQE,CBS,"Albuquerque, New Mexico"
KRSU-TV,"independent, educational","Claremore, Oklahoma"
KRTN-TV,33.1MeTV,"Durango, Colorado"
,33.2Telemundo,
KRTV,3.1CBS,"Great Falls, Montana"
,7.2The CW,
KRWB-TV,The CW,"Roswell, New Mexico"
KRWF,ABC,"Redwood Falls, Minnesota"
KRWG-TV,PBS,"Las Cruces, New Mexico"
KRXI-TV,11.1Fox,"Reno, Nevada"
,11.2RTV,
KSAN-TV,NBC,"San Angelo, Texas"
KSAS-TV,Fox,"Wichita, Kansas"
KSAT-TV,12.1ABC,"San Antonio, Texas"
,12.2MeTV,
KSAX,ABC,"Alexandria, Minnesota"
KSAZ-TV,Fox,"Phoenix, Arizona"
KSBI,MyNetworkTV,"Oklahoma City, Oklahoma"
KSBW,8.1NBC,"Salinas, California"
,8.2ABC,
KSBY,NBC,"San Luis Obispo, California"
KSCC,Fox,"Corpus Christi, Texas"
KSCE,religious,"El Paso, Texas"
KSCI,ethnic/independent,"Long Beach, California"
KSCW-DT,The CW,"Wichita, Kansas"
KSDK,NBC,"St. Louis, Missouri"
KSEE,NBC,"Fresno, California"
KSFY-TV,13.1ABC,"Sioux Falls, South Dakota"
,13.2The CW,
KSGW-TV,ABC,"Sheridan, Wyoming"
KSHB-TV,NBC,"Kansas City, Missouri"
KSHV-TV,MyNetworkTV,"Shreveport, Louisiana"
KSIN-TV,PBS,"Sioux City, Iowa"
KSKN,The CW,"Spokane, Washington"
KSL-TV,NBC,"Salt Lake City, Utah"
KSLA,CBS,"Shreveport, Louisiana"
KSMN,PBS,"Worthington, Minnesota"
KSMO-TV,MyNetworkTV,"Kansas City, Missouri"
KSMQ-TV,PBS,"Austin, Minnesota"
KSMS-TV,67.1Univision,"Monterey, California"
,33.2KDJT-CD,
KSNB-TV,4.1NBC,"Superior, Nebraska"
,4.2MyNetworkTV,
KSNC,NBC,"Great Bend, Kansas"
KSNF,NBC,"Joplin, Missouri"
KSNG,NBC,"Garden City, Kansas"
KSNK,NBC,"McCook, Nebraska"
KSNT,27.1NBC,"Topeka, Kansas"
,43.2KTMJ-CD,
KSNV,3.1NBC,"Las Vegas, Nevada"
KSNW,NBC,"Wichita, Kansas"
KSPS-TV,PBS,"Spokane, Washington"
KSPX-TV,ION Television,"Sacramento, California"
KSQA,ZUUS Country,"Topeka, Kansas"
KSRE,PBS,"Minot, North Dakota"
KSTC-TV,Independent,"Minneapolis, Minnesota"
KSTF,CBS,"Scottsbluff, Nebraska"
KSTP-TV,5.1ABC,"St. Paul, Minnesota"
KSTR-DT,UniMás,"Irving, Texas"
KSTS,Telemundo,"San Jose, California"
KSTU,Fox,"Salt Lake City, Utah"
KSTW,The CW,"Tacoma, Washington"
KSVI,ABC,"Billings, Montana"
KSWB-TV,69.1Fox,"San Diego, California"
,19.3This TV,
KSWK,PBS,"Lakin, Kansas"
KSWO-TV,ABC,"Lawton, Oklahoma"
KSWT,13.1CBS,"Yuma, Arizona"
KSYS,PBS,"Medford, Oregon"
KTAB-TV,CBS,"Abilene, Texas"
KTAJ-TV,TBN,"St. Joseph, Missouri"
KTAL-TV,NBC,"Texarkana, Texas"
KTAS,Telemundo,"San Luis Obispo, California"
KTAZ,Telemundo,"Phoenix, Arizona"
KTBC,Fox,"Austin, Texas"
KTBN-TV,TBN,"Santa Ana, California"
KTBO-TV,TBN,"Oklahoma City, Oklahoma"
KTBS-TV,ABC,"Shreveport, Louisiana"
KTBU,MegaTV,"Conroe, Texas"
KTBW-TV,TBN,"Tacoma, Washington"
KTBY,Fox,"Anchorage, Alaska"
KTCA-TV,PBS,"Minneapolis, Minnesota"
KTCI-TV,PBS,"St. Paul, Minnesota"
KTCW,NBC,"Roseburg, Oregon"
KTDO,Telemundo,"Las Cruces, New Mexico"
KTEJ,PBS,"Jonesboro, Arkansas"
KTEL-TV,25.1Telemundo,"Carlsbad, New Mexico"
,25.2MeTV,
KTEN,10.1NBC,"Ada, Oklahoma"
,26.2The CW,
,26.3ABC,
KTFD-DT,UniMas,"Boulder, Colorado"
KTFF-DT,UniMas,"Porterville, California"
KTFK-DT,UniMas,"Stockton, California"
KTFN,UniMas,"El Paso, Texas"
KTFQ-DT,UniMas,"Albuquerque, New Mexico"
KTGF,16.1 MeTV,"Great Falls, Montana"
,16.2 JUCE TV,
KTGM,ABC,"Tamuning, Guam"
KTHV,11.1CBS,"Little Rock, Arkansas"
,11.2THV2,
KTIN,PBS,"Fort Dodge, Iowa"
KTIV,4.1NBC,"Sioux City, Iowa"
,4.2The CW,
KTKA-TV,49.1ABC,"Topeka, Kansas"
,48.2The CW,
KTLA,The CW,"Los Angeles, California"
KTLM,Telemundo,"Rio Grande City, Texas"
KTLN-TV,TLN,"San Francisco, California"
KTMD,Telemundo,"Galveston, Texas"
KTMF,23.1ABC,"Missoula, Montana"
,23.2Fox,
KTMW,FamilyNet/Jewelry TV,"Salt Lake City, Utah"
KTNC-TV,Estrella TV,"Concord, California"
KTNE-TV,PBS,"Alliance, Nebraska"
KTNL-TV,CBS,"Sitka, Alaska"
KTNV-TV,ABC,"Las Vegas, Nevada"
KTNW,PBS,"Richland, Washington"
KTOO-TV,PBS,"Juneau, Alaska"
KTPX-TV,ION Television,"Okmulgee, Oklahoma"
KTRE,9.1ABC,"Lufkin, Texas"
,9.2Telemundo,
KTRK-TV,ABC,"Houston, Texas"
KTRV-TV,12.1MyNetworkTV,"Nampa, Idaho"
,13.2MeTV,
,13.3This TV,
KTSC,PBS,"Pueblo, Colorado"
KTSD-TV,PBS,"Pierre, South Dakota"
KTSF,Ethnic Independent,"San Francisco, California"
KTSM-TV,NBC,"El Paso, Texas"
KTTC,10.1NBC,"Rochester, Minnesota"
,10.2The CW,
KTTM,Fox,"Huron, South Dakota"
KTTU,18.1MyNetworkTV,"Tucson, Arizona"
,18.2Estrella TV,
KTTV,Fox,"Los Angeles, California"
KTTW,Fox,"Sioux Falls, South Dakota"
KTTZ-TV,PBS,"Lubbock, Texas"
KTUL,ABC,"Tulsa, Oklahoma"
KTUU-TV,NBC,"Anchorage, Alaska"
KTUZ-TV,Telemundo,"Shawnee, Oklahoma"
KTVA,CBS,"Anchorage, Alaska"
KTVB,7.1NBC,"Boise, Idaho"
,7.2 24/7 Newschannel,
KTVC,3ABN,"Roseburg, Oregon"
KTVD,20.1MyNetworkTV,"Denver, Colorado"
,20.2MeTV,
KTVE,NBC,"El Dorado, Arkansas"
KTVF,NBC,"Fairbanks, Alaska"
KTVH-DT,NBC,"Helena, Montana"
KTVI,Fox,"St. Louis, Missouri"
KTVK,3.1Independent,"Phoenix, Arizona"
,42.2This TV,
KTVL,10.1CBS,"Medford, Oregon"
,10.2The CW,
KTVM-TV,6.1NBC,"Butte, Montana"
,6.2MeTV,
KTVN,CBS,"Reno, Nevada"
KTVO,3.1ABC,"Kirksville, Missouri"
,3.2CBS,
KTVQ,2.1CBS,"Billings, Montana"
,10.2The CW,
KTVR,PBS,"La Grande, Oregon"
KTVT,CBS,"Fort Worth, Texas"
KTVU,Fox,"Oakland, California"
KTVW-DT,Univision,"Phoenix, Arizona"
KTVX,4.1ABC,"Salt Lake City, Utah"
,40.2MeTV,
KTVZ,21.1NBC,"Bend, Oregon"
,21.2The CW,
,39.3KFXO-CD,
KTWO-TV,ABC,"Casper, Wyoming"
KTWU,PBS,"Topeka, Kansas"
KTXA,Independent,"Fort Worth, Texas"
KTXD-TV,Independent,"Greenville, Texas"
KTXH,MyNetworkTV,"Houston, Texas"
KTXL,Fox,"Sacramento, California"
KTXS-TV,12.1ABC,"Sweetwater, Texas"
,20.2The CW,
,40.3KTES-LP,
KUAC-TV,PBS,"Fairbanks, Alaska"
KUAM-TV,Fox,"Hagåtña, Guam"
KUAS-TV,PBS,"Tucson, Arizona"
KUAT-TV,PBS,"Tucson, Arizona"
KUBD,CBS,"Ketchikan, Alaska"
KUBE-TV,57.1Independent,"Baytown, Texas"
,41.4MeTV,
KUCW,The CW,"Ogden, Utah"
KUED,PBS,"Salt Lake City, Utah"
KUEN,UEN,"Salt Lake City, Utah"
KUES,PBS,"Richfield, Utah"
KUEW,PBS,"St. George, Utah"
KUFM-TV,PBS,"Missoula, Montana"
KUGF-TV,21.1 PBS,"Great Falls, Montana"
,21.2 PBS Kids,
,21.3 Create,
,21.4 World,
,21.5 TVMT,
KUHM-TV,The CW,"Helena, Montana"
KUHT,PBS,"Houston, Texas"
KUID-TV,PBS,"Moscow, Idaho"
KUKL-TV,46.1 PBS,"Kalispell, Montana"
,46.2 PBS Kids,
,46.3 Create,
,46.4 World,
,46.5 TVMT,
KULR-TV,NBC,"Billings, Montana"
KUMV-TV,NBC,"Williston, North Dakota"
KUNP,Univision,"La Grande, Oregon"
KUNS-TV,Univision,"Bellevue, Washington"
KUOK,Univision,"Woodward, Oklahoma"
KUON-TV,PBS,"Lincoln, Nebraska"
KUPB,Univision,"Midland, Texas"
KUPK,13.1ABC,"Garden City, Kansas"
,13.2MeTV,
KUPT,MyNetworkTV,"Hobbs, New Mexico"
KUPU,Religious Independent,"Waimanalo, Hawaii"
KUPX-TV,ION Television,"Provo, Utah"
KUSA,NBC,"Denver, Colorado"
KUSD-TV,PBS,"Vermillion, South Dakota"
KUSI-TV,Independent,"San Diego, California"
KUSM-TV,PBS,"Bozeman, Montana"
KUTF,Daystar,"Logan, Utah"
KUTH-DT,Univision,"Provo, Utah"
KUTP,MyNetworkTV,"Phoenix, Arizona"
KUTV,2.1CBS,"Salt Lake City, Utah"
,34.2MyNetworkTV/This TV,
KUVE-DT,Univision,"Green Valley, Arizona"
KUVI-DT,45.1MyNetworkTV,"Bakersfield, California"
,39.2KABE-CD,
,45.3KTFB-CA,
KUVN-DT,Univision,"Garland, Texas"
KUVS-DT,Univision,"Modesto, California"
KVAL-TV,CBS,"Eugene, Oregon"
KVAW,Dark,"Eagle Pass, Texas"
KVCR-DT,PBS,"San Bernardino, California"
KVCT,19.1Fox,"Victoria, Texas"
,45.3KVTX-LP,
KVCW,The CW,"Las Vegas, Nevada"
KVDA,Telemundo,"San Antonio, Texas"
KVEA,Telemundo,"Corona, California"
KVEO-TV,NBC,"Brownsville, Texas"
KVEW,42.1ABC,"Kennewick, Washington"
,44.2MeTV,
KVHP,Fox,"Lake Charles, Louisiana"
KVIA-TV,7.1ABC,"El Paso, Texas"
,7.2The CW,
,7.4KAEP-LP,
KVIE,PBS,"Sacramento, California"
KVIH-TV,12.1ABC,"Clovis, New Mexico"
,12.2The CW,
KVII-TV,7.1ABC,"Amarillo, Texas"
,7.2The CW,
KVLY-TV,11.1 NBC,"Fargo, North Dakota"
,11.2 CBS,
,11.3 MeTV,
KVMD,ARTN,"Twentynine Palms, California"
KVME-TV,MeTV,"Bishop, California"
KVOA,4.1NBC,"Tucson, Arizona"
KVOS-TV,MeTV,"Bellingham, Washington"
KVPT,PBS,"Fresno, California"
KVRR,Fox,"Fargo, North Dakota"
KVSN-DT,48.1 Univision,"Pueblo, Colorado"
,48.2 UniMas,
,48.3 LATV,
KVTH-DT,Victory Television Network/Total Living Network,"Hot Springs, Arkansas"
KVTJ-DT,Victory Television Network/Total Living Network,"Jonesboro, Arkansas"
KVTN-DT,Victory Television Network/Total Living Network,"Pine Bluff, Arkansas"
KVUE,ABC,"Austin, Texas"
KVUI,MeTV,"Pocatello, Idaho"
KVVU-TV,Fox,"Henderson, Nevada"
KVYE,Univision,"El Centro, California"
KWAB-TV,4.1NBC,"Big Spring, Texas"
,33.2Telemundo,
KWBA-TV,The CW,"Sierra Vista, Arizona"
KWBM,31.1Daystar,"Harrison, Arkansas"
,31.2Fox,
KWBN,Daystar Television Network,"Honolulu, Hawaii"
KWBQ,The CW,"Santa Fe, New Mexico"
KWCH-DT,CBS,"Hutchinson, Kansas"
KWCM-TV,PBS,"Appleton, Minnesota"
KWDK,Daystar Television Network,"Tacoma, Washington"
KWES-TV,9.1NBC,"Odessa, Texas"
,20.2KTLE-LP,
KWET,PBS,"Cheyenne, Oklahoma"
KWEX-DT,Univision,"San Antonio, Texas"
KWGN-TV,The CW,"Denver, Colorado"
KWHB,World Harvest Television,"Tulsa, Oklahoma"
KWHD,World Harvest Television,"Hilo, Hawaii"
KWHE,World Harvest Television,"Honolulu, Hawaii"
KWHM,World Harvest Television,"Wailuku, Hawaii"
KWHY-TV,MundoFox,"Los Angeles, California"
KWKB,The CW,"Iowa City, Iowa"
KWKS,PBS,"Colby, Kansas"
KWKT-TV,Fox/MyNetworkTV,"Waco, Texas"
KWNB-TV,6.1ABC,"Hayes Center, Nebraska"
,6.2Fox,
KWOG,Daystar,"Springdale, Arkansas"
KWPX-TV,ION Television,"Bellevue, Washington"
KWQC-TV,6.1NBC,"Davenport, Iowa"
,36.2 24/7 Weather,
KWSD,36.1MeTV,"Sioux Falls, South Dakota"
,42.2KAUN-LP,
KWSE,PBS,"Williston, North Dakota"
KWSU-TV,PBS,"Pullman, Washington"
KWTV-DT,CBS,"Oklahoma City, Oklahoma"
KWTX-TV,10.1CBS,"Waco, Texas"
,10.2The CW,
KWWL,7.1NBC,"Waterloo, Iowa"
,7.2This TV,
,7.3MeTV,
KWWT,The CW,"Odessa, Texas"
KWYB,18.1ABC,"Butte, Montana"
,18.2Fox,
KWYP-DT,PBS,"Laramie, Wyoming"
KXAN-TV,NBC,"Austin, Texas"
KXAS-TV,5.1NBC,"Fort Worth, Texas"
KXGN-TV,"CBS, NBC","Glendive, Montana"
KXII,12.1CBS,"Sherman, Texas"
,12.2MyNetworkTV,
,12.3Fox,
KXLA,Ethnic/independent,"Rancho Palos Verdes, California"
KXLF-TV,4.1CBS,"Butte, Montana"
,5.2The CW,
KXLN-DT,Univision,"Rosenberg, Texas"
KXLT-TV,47.1Fox,"Rochester, Minnesota"
,47.2MeTV,
KXLY-TV,4.1ABC,"Spokane, Washington"
,11.2KXMN-LP,
KXMA-TV,2.1CBS,"Dickinson, North Dakota"
,19.2ABC,
KXMB-TV,CBS,"Bismarck, North Dakota"
KXMC-TV,CBS,"Minot, North Dakota"
KXMD-TV,11.1CBS,"Williston, North Dakota"
,14.2ABC,
KXNE-TV,PBS,"Norfolk, Nebraska"
KXNW,34.1MyNetworkTV/Antenna TV,"Eureka Springs, Arkansas"
,34.2CBS,
KXRM-TV,21.1Fox,"Colorado Springs, Colorado"
,20.2KXTU-LD,
KXTF,Dark,"Twin Falls, Idaho"
KXTV,ABC,"Sacramento, California"
KXTX-TV,Telemundo,"Dallas, Texas"
KXVA,15.1Fox,"Abilene, Texas"
,42.2KIDZ-LD,
KXVO,The CW,"Omaha, Nebraska"
KXXV,ABC,"Waco, Texas"
KYAZ,51.1 Azteca America,"Katy, Texas"
KYES-TV,MyNetworkTV,"Anchorage, Alaska"
KYIN,PBS,"Mason City, Iowa"
KYLE-TV,Fox/MyNetworkTV,"Bryan, Texas"
KYMA-DT,11.1NBC,"Yuma, Arizona"
,11.2This TV,
KYNE-TV,PBS,"Omaha, Nebraska"
KYOU-TV,Fox,"Ottumwa, Iowa"
KYTV,3.1NBC,"Springfield, Missouri"
KYTX,19.1CBS,"Nacogdoches, Texas"
,19.2The CW,
KYUR,13.1 ABC,"Anchorage, Alaska"
,13.2 KWBX-DT,
KYUS-TV,NBC,"Miles City, Montana"
KYVE,PBS,"Yakima, Washington"
KYVV-TV,MundoFox,"Del Rio, Texas"
KYW-TV,3.1CBS,"Philadelphia, Pennsylvania"
,3.2CBSPhillyPlus,
KZJL,Estrella TV,"Houston, Texas"
KZJO,Independent/MyNetworkTV,"Seattle, Washington"
KZSD-TV,PBS,"Martin, South Dakota"
KZTV,CBS,
WAAY-TV,ABC,"Huntsville, Alabama"
WABC-TV,ABC,"New York, New York"
WABG-TV,6.1ABC,"Greenwood, Mississippi"
,32.2Fox,
WABI-TV,5.1CBS,"Bangor, Maine"
,19.2The CW,
WABM,68.1MyNetworkTV,"Birmingham, Alabama"
,58.2WBMA-LD,
WABW-TV,PBS,"Pelham, Georgia"
WACH,Fox,"Columbia, South Carolina"
WACP,4.1Independent,"Atlantic City, New Jersey"
,4.2Independent,
,4.3Sonlife Broadcasting Network,
WACS-TV,PBS,"Dawson, Georgia"
WACX,Religious Independent,"Leesburg, Florida"
WACY-TV,MyNetworkTV,"Appleton, Wisconsin"
WADL,38.1 Independent,"Mount Clemens, Michigan"
,38.2 Antenna TV,
,38.3 The Word Network,
WAFB,9.1CBS,"Baton Rouge, Louisiana"
,39.4WBXH-CD,
WAFF,NBC,"Huntsville, Alabama"
WAGA-TV,Fox,"Atlanta, Georgia"
WAGM-TV,8.1Fox/MyNetworkTV,"Presque Isle, Maine"
,8.2CBS,
WAGV,Religious,"Harlan, Kentucky"
WAIQ,PBS,"Montgomery, Alabama"
WAKA,8.1CBS,"Selma, Alabama"
,42.2MeTV,
WALA-TV,Fox,"Mobile, Alabama"
WALB,10.1NBC,"Albany, Georgia"
,10.2ABC,
,10.3Bounce TV,
WAMI-DT,TeleFutura,"Hollywood, Florida"
WAND,NBC,"Decatur, Illinois"
WANE-TV,15.1CBS,"Fort Wayne, Indiana"
,15.2Antenna TV,
WAOE,MyNetworkTV,"Peoria, Illinois"
WAOW,9.1ABC,"Wausau, Wisconsin"
,9.2The CW,
,9.3This TV,
WAPA-TV,Independent,"San Juan, Puerto Rico"
WAPT,ABC,"Jackson, Mississippi"
WAQP,TCT,"Saginaw, Michigan"
WATC-DT,Religious,"Atlanta, Georgia"
WATE-TV,ABC,"Knoxville, Tennessee"
WATL,MyNetworkTV,"Atlanta, Georgia"
WATM-TV,23.1ABC,"Altoona, Pennsylvania"
,24.3This TV,
WATN-TV,ABC,"Memphis, Tennessee"
WAVE,NBC,"Louisville, Kentucky"
WAVY-TV,NBC,"Portsmouth, Virginia"
WAWD,Independent,"Fort Walton Beach, Florida"
WAWV-TV,ABC,"Terre Haute, Indiana"
WAXN-TV,Independent,"Kannapolis, North Carolina"
,,
WB[edit],,
,,
WBAL-TV,"Baltimore, Maryland",BALtimore. Digital subchannel is branded as WBAL Plus.
,,
WBAY-TV,"Green Bay, Wisconsin",Green BAY
,,
,,
WBBH-TV,"Fort Myers, Florida","Brands by its cable channel number, 2. Its digital subchannel is branded as NBC2 newsplus"
,,
WBBJ-TV,"Jackson, Tennessee",We're Bahakel Broadcasting of Jackson
,,
WBBM-TV,"Chicago, Illinois",We Broadcast Better Music or World's Best Broadcasting Medium; from sister radio station WBBM (AM)
WBBZ-TV,"Springville, New York",Buffalo's BuzZ
WBDT,"Springfield, Ohio",WB DayTon
,,
WBEC-TV,"Boca Raton, Florida",Broward Educational Communications
WBFF,"Baltimore, Maryland",Baltimore's Finest Features; also Baltimore's Forty Five (the station's PSIP number)
,,
WBFS-TV,"Miami, Florida",Broadcasting from Florida's South
WBGU-TV,"Bowling Green, Ohio",Bowling Green University
WBIF,"Marianna, Florida",
WBIH,"Selma, Alabama",
WBIQ,"Birmingham, Alabama",Birminghan Intelligence Quotient
WBIR-TV,"Knoxville, Tennessee",Jesse W. BIRdwell
,,
WBKB-TV,"Alpena, Michigan",Balaban and Katz Broadcasting
,,
,,
WBKI,"Salem, Indiana",WB KentuckIana (affiliation of predecessor station)
,,
WBKO,"Bowling Green, Kentucky","We're Bowling Green,Kentucky Own. Digital subchannel 13.3 branded by cable channel number, 12."
,,
,,
WBKP,"Calumet, Michigan",Beautiful Keweenaw Peninsula
WBMM,"Tuskegee, Alabama",We Belong in MontgoMery
WBNA,"Louisville, Kentucky",Word Broadcasting Network Association. Digital subchannel 8.3 is branded as The Light.
,,
WBNG-TV,"Binghamton, New York",BiNGhamton. Digital subchannel 12.2 branded by as cable channel 11.
,,
WBNS-TV,"Columbus, Ohio","Wolfe Bank, Newspaper and Shoes (original owner)"
WBNX-TV,"Akron, Ohio","Winston Broadcasting Networks (X, owner)"
,,
WBOC-TV,"Salisbury, Maryland",We're Between the (Atlantic) Ocean and the Chesapeake (Bay). Digital subchannel 21.3 (PSIP 16.2) is branded as WBOC Classics
,,
,,
WBOY-TV,"Clarksburg, West Virginia",
,,
WBPH-TV,"Bethlehem, Pennsylvania",Bethlehem and PHiladelphia
WBPX-TV,"Boston, Massachusetts",Boston PaX affiliate
WBRA-TV,"Roanoke, Virginia",Blue Ridge roAnoke
WBRC,"Birmingham, Alabama",Bell Radio Corp.
WBRE-TV,"Wilkes-Barre, Pennsylvania",Wilkes Barre
WBRZ-TV,"Baton Rouge, Louisiana",W Baton Rouge's Z (2)
WBSF,"Bay City, Michigan",W Bay City Saginaw Flint
WBTV,"Charlotte, North Carolina",Radio sister station WBT
WBTW,"Florence, South Carolina",Originally a sister station of WBTV.
,,
WBUI,"Decatur, Illinois",WB University of Illinois
,,
WBUP,"Ishpeming, Michigan",Beautiful Upper Peninsula
WBUY-TV,"Holly Springs, Mississippi","BUY (Shopping, former HSN affiliation)"
WBXX-TV,"Crossville, Tennessee",WB XX (20 in Roman numerals)
WBZ-TV,"Boston, Massachusetts",Westinghouse BoZton (founder)
,,
WC[edit],,
,,
Call letters,Network(s),City and state
WCAU,10.1NBC,"Philadelphia, Pennsylvania"
,10.2Cozi TV,
WCAV,19.1CBS,"Charlottesville, Virginia"
,27.3WAHU-CD,
WCAX-TV,3.1CBS,"Burlington, Vermont"
,22.2WCAXtra,
WCBB,PBS,"Augusta, Maine"
WCBD-TV,2.1NBC,"Charleston, South Carolina"
,2.2The CW,
WCBI-TV,4.1CBS,"Columbus, Mississippi"
,35.2MyNetworkTV,
,4.3The CW,
WCBS-TV,CBS,"New York, New York"
WCCB,18.1The CW,"Charlotte, North Carolina"
,27.2MeTV,
WCCO-TV,CBS,"Minneapolis, Minnesota"
WCCT-TV,20.1The CW,"Waterbury, Connecticut"
,20.2This TV,
WCCU,27.1Fox,"Urbana, Illinois"
,26.2MeTV,
WCCV-TV,Religious,"Arecibo, Puerto Rico"
WCDC-TV,19.1ABC,"Adams, Massachusetts"
WCES-TV,PBS,"Wrens, Georgia"
WCET,PBS,"Cincinnati, Ohio"
WCFE-TV,PBS,"Plattsburgh, New York"
WCGV-TV,24.1MyNetworkTV,"Milwaukee, Wisconsin"
,24.2ZUUS Country,
WCHS-TV,ABC,"Charleston, West Virginia"
WCIA,CBS,"Champaign, Illinois"
WCIQ,PBS,"Mount Cheaha, Alabama"
WCIU-TV,26.1Independent,"Chicago, Illinois"
,23.2WWME-CD,
,48.3WMEU-CA,
,26.5Bounce TV,
WCIV,36.1MyNetworkTV,"Charleston, South Carolina"
,36.2ABC,
,36.3MeTV,
WCIX,MyNetworkTV,"Springfield, Illinois"
WCJB-TV,20.1ABC,"Gainesville, Florida"
,20.2The CW,
WCLF,CTN,"Clearwater, Florida"
WCLJ-TV,TBN,"Bloomington, Indiana"
WCMH-TV,4.1NBC,"Columbus, Ohio"
,4.2MeTV,
WCML,PBS,"Alpena, Michigan"
WCMU-TV,PBS,"Mount Pleasant, Michigan"
WCMV,PBS,"Cadillac, Michigan"
WCMW,PBS,"Manistee, Michigan"
WCMZ-TV,PBS,"Flint, Michigan"
WCNC-TV,NBC,"Charlotte, North Carolina"
WCNY-TV,PBS,"Syracuse, New York"
WCOV-TV,20.1Fox,"Montgomery, Alabama"
,20.3This TV,
WCPB,PBS,"Salisbury, Maryland"
WCPO-TV,ABC,"Cincinnati, Ohio"
WCPX-TV,ION Television,"Chicago, Illinois"
WCSC-TV,5.1CBS,"Charleston, South Carolina"
,5.2Independent,
,47.3Bounce TV,
WCSH,NBC,"Portland, Maine"
WCTE,PBS,"Cookeville, Tennessee"
WCTI-TV,12.1ABC,"New Bern, North Carolina"
,12.3This TV,
WCTV,6.1CBS,"Thomasville, Georgia"
,46.2MyNetworkTV,
WCTX,MyNetworkTV,"New Haven, Connecticut"
WCVB-TV,5.1ABC,"Boston, Massachusetts"
,20.2MeTV,
WCVE-TV,PBS,"Richmond, Virginia"
WCVI-TV,The CW,"Christiansted, US Virgin Islands"
WCVN-TV,PBS,"Covington, Kentucky"
WCVW,PBS,"Richmond, Virginia"
WCWF,The CW,"Suring, Wisconsin"
WCWG,20.1The CW,"Lexington, North Carolina"
,19.2Independent,
,19.4Bounce TV,
WCWJ,17.1The CW,"Jacksonville, Florida"
,34.2Bounce TV,
WCWN,The CW,"Schenectady, New York"
WCYB-TV,5.1NBC,"Bristol, Virginia"
,5.2The CW,
,,
WD[edit],,
,,
Call letters,Network(s),City and state
WDAF-TV,4.1Fox,"Kansas City, Missouri"
,4.2Antenna TV,
WDAM-TV,7.1NBC,"Laurel, Mississippi"
,7.2ABC,
,7.3Bounce TV,
WDAY-TV,6.1ABC,"Fargo, North Dakota"
,6.2WBFG,
WDAZ-TV,8.1ABC,"Devils Lake, North Dakota"
,8.2WBFG,
WDBB,The CW,"Bessemer, Alabama"
WDBD,40.1Fox,"Jackson, Mississippi"
WDBJ,7.1CBS,"Roanoke, Virginia"
,18.2MyNetworkTV,
WDCA,MyNetworkTV,"Washington, District of Columbia"
WDCQ-TV,PBS,"Bad Axe, Michigan"
WDCW,The CW,"Washington, District of Columbia"
WDEF-TV,CBS,"Chattanooga, Tennessee"
WDFX-TV,34.1Fox,"Dothan, Alabama"
,34.2Bounce TV,
WDHN,ABC,"Dothan, Alabama"
WDHS,Dark,"Iron Mountain, Michigan"
WDIO-DT,10.1ABC,"Duluth, Minnesota"
,10.2MeTV,
WDIQ,PBS,"Dozier, Alabama"
WDIV-TV,4.1NBC,"Detroit, Michigan"
,45.2This TV,
WDJT-TV,58.1CBS,"Milwaukee, Wisconsin"
,41.2WBME-CD,
,46.3This TV,
,46.4TouchVision,
WDKA,49.1MyNetworkTV,"Paducah, Kentucky"
WDKY-TV,56.1Fox,"Danville, Kentucky"
WDLI-TV,TBN,"Canton, Ohio"
WDPB,64.1 PBS,"Seaford, Delaware"
,64.2 Y2,
,64.3 Y Info,
WDPM-DT,Daystar,"Mobile, Alabama"
WDPX-TV,ION Television,"Vineyard Haven, Massachusetts"
WDRB,Fox,"Louisville, Kentucky"
WDSC-TV,Educational Independent,"New Smyrna Beach, Florida"
WDSE,PBS,"Duluth, Minnesota"
WDSI-TV,61.1Fox,"Chattanooga, Tennessee"
,40.2MyNetworkTV,
